transaction_id,timestamp,customer_id,amount,merchant_category,device_id,city,lat,lon,is_fraud,fraud_pattern
100000,2024-01-01 19:12:44,15,323.01,posto_combustivel,dev_c6a7ee39,Rio de Janeiro,-22.856727443727404,-43.22259805419048,0,none
100001,2024-01-01 23:29:26,17,522.68,supermercado,dev_366eb16f,Rio de Janeiro,-22.88773661273983,-43.200150689761784,0,none
100002,2024-01-02 06:33:46,14,576.93,eletronicos,dev_a748dbcf,Curitiba,-25.468285740239757,-49.23868427790861,0,none
100003,2024-01-02 12:59:12,30,483.43,aposta_online,dev_5cec4eb5,Rio de Janeiro,-22.87456692570528,-43.158555870322445,0,none
100004,2024-01-02 17:12:18,15,182.73,joalheria,dev_c6a7ee39,Rio de Janeiro,-22.925741600644642,-43.21317263723039,0,none
100005,2024-01-03 12:37:09,11,356.08,transferencia_p2p,dev_ccf3a171,Rio de Janeiro,-22.920072311041913,-43.193604180037624,0,none
100006,2024-01-03 13:13:04,30,301.07,restaurante,dev_5cec4eb5,Rio de Janeiro,-22.882797636312777,-43.162778758221364,0,none
100007,2024-01-03 15:29:43,1,43.91,aposta_online,dev_392456de,Rio de Janeiro,-22.91207235319662,-43.22703359332121,0,none
100008,2024-01-03 17:50:04,24,169.9,vestuario,dev_ae270da7,Brasilia,-15.777174303752433,-47.85284986258902,0,none
100009,2024-01-05 11:26:56,18,493.26,posto_combustivel,dev_5ab33edf,Belo Horizonte,-19.930300542572173,-43.940461610267825,0,none
100010,2024-01-05 15:58:53,5,650.64,transporte,dev_cf36d58b,Curitiba,-25.42308898728445,-49.25846517428365,0,none
100011,2024-01-05 23:51:58,6,235.6,aposta_online,dev_27cd8130,Curitiba,-25.445173681664276,-49.228414523511915,0,none
100012,2024-01-06 07:02:08,17,249.14,aposta_online,dev_366eb16f,Rio de Janeiro,-22.89806672896669,-43.23510593354236,0,none
100013,2024-01-06 08:43:59,9,83.36,eletronicos,dev_9e574f7a,Salvador,-13.016709821984653,-38.45712336387454,0,none
100014,2024-01-06 17:13:43,30,246.48,farmacia,dev_5cec4eb5,Rio de Janeiro,-22.894011648085613,-43.16252872764589,0,none
100015,2024-01-06 18:04:56,17,367.02,transporte,dev_366eb16f,Rio de Janeiro,-22.918930222595257,-43.241361447756674,0,none
100016,2024-01-06 18:28:14,8,556.15,viagem,dev_f91e1d4c,Curitiba,-25.39239363785353,-49.30598644248851,0,none
100017,2024-01-06 20:58:51,29,98.95,joalheria,dev_00257ad1,Brasilia,-15.792437097205692,-47.91491389233044,0,none
100018,2024-01-07 07:18:31,12,574.06,joalheria,dev_b3aa7efe,Porto Alegre,-30.079182259405275,-51.26925029156288,0,none
100019,2024-01-07 12:17:35,15,208.83,posto_combustivel,dev_c6a7ee39,Rio de Janeiro,-22.88017499708778,-43.23785739166374,0,none
100020,2024-01-07 12:28:46,1,243.43,cripto_exchange,dev_03c72ba8,Cidade do Mexico,19.43,-99.13,1,account_takeover
